id,plec,miasto_kat,wojewodztwo,domena_kat,wiek,IPA,IPB,wynik,typ_adresu,wybory,poczta,data,
"8076833","k","miasto_woj7","woj26","domena_kat24","53","ipA5","ipB1676","nie","mieszkanie","wybory63","c011","2014-11-15",
"2994922","k","miasto_woj154","woj16","domena_kat10","34","ipA43","ipB4756","nie","mieszkanie","wybory38","c023","2014-11-13",
"4306889","k","miasto_woj154","woj18","domena_kat24","49","ipA19","ipB2949","nie","skrzynka","wybory23","b002","2014-11-11",
"2872369","m","miasto_woj154","woj40","domena_kat9","53","ipA43","ipB2038","nie","mieszkanie","wybory233","c074","2014-11-13",
"3532123","m","miasto_woj154","woj28","domena_kat9","43","ipA6","ipB6","nie","wiezowiec","wybory153","c002","2014-11-11",
"1418972","k","miasto_woj154","woj39","domena_kat24","60","ipA4","ipB159","nie","skrzynka","wybory146","b001","2014-11-12",
"6366085","k","miasto_woj154","woj15","domena_kat17","70","ipA7","ipB1544","nie","mieszkanie","wybory18","r001","2014-11-14",
"8042651","k","miasto_woj154","woj10","domena_kat1","58","ipA2","ipB524","nie","mieszkanie","wybory280","r009","2014-11-15",
"7141810","m","miasto_woj50","woj40","domena_kat9","63","ipA9","ipB3048","nie","mieszkanie","wybory110","c067","2014-11-15",
"1453069","m","miasto_woj51","woj14","domena_kat24","45","ipA14","ipB3113","nie","mieszkanie","wybory197","c021","2014-11-12",
"8091464","m","miasto_woj154","woj50","domena_kat11","76","ipA22","ipB3801","nie","wies","wybory308","h061","2014-11-15",
"4584729","k","miasto_woj109","woj23","domena_kat9","73","ipA19","ipB1506","nie","wiezowiec","wybory290","c006","2014-11-11",
"8101942","m","miasto_woj154","woj4","domena_kat5","57","ipA1","ipB1603","nie","skrzynka","wybory424","b001","2014-11-15",
"1626686","k","miasto_woj154","woj1","domena_kat24","60","ipA24","ipB233","nie","mieszkanie","wybory364","r003","2014-11-12",
"1077818",,"miasto_woj154","woj47","domena_kat9","38","ipA53","ipB4375","nie","mieszkanie","wybory221","c001","2014-11-12",
"2570651","m","miasto_woj154","woj34","domena_kat3","47","ipA28","ipB4596","nie","mieszkanie","wybory159","r005","2014-11-13",
"5511855","k","miasto_woj55","woj4","domena_kat17","42","ipA1","ipB494","nie","mieszkanie","wybory425","c001","2014-11-14",
"6349881",,"miasto_woj55","woj4","domena_kat19","55","ipA18","ipB741","nie","mieszkanie","wybory424","r001","2014-11-14",
"5741076","k","miasto_woj154","woj48","domena_kat24","74","ipA13","ipB1270","nie","wiezowiec","wybory401","c004","2014-11-14",
"7748222","k","miasto_woj154","woj3","domena_kat9","31","ipA5","ipB385","nie","mieszkanie","wybory298","r002","2014-11-15",
"4733868","k","miasto_woj136","woj38","domena_kat9","21","ipA1","ipB1287","nie","mieszkanie","wybory374","r015","2014-11-11",
"1310546",,"miasto_woj154","woj10","domena_kat9",,"ipA9","ipB1060","nie","mieszkanie","wybory280","c022","2014-11-12",
"4813655","k","miasto_woj114","woj13","domena_kat24","30","ipA2","ipB236","nie","wiezowiec","wybory193","c003","2014-11-11",
"1221716",,"miasto_woj126","woj11","domena_kat15","65","ipA18","ipB2143","nie","mieszkanie","wybory12","c012","2014-11-12",
"2455837","k","miasto_woj154","woj18","domena_kat1","61","ipA14","ipB1047","nie","mieszkanie","wybory258","c084","2014-11-13",
"7023577","m","miasto_woj61","woj14","domena_kat24","23","ipA24","ipB606","nie","wiezowiec","wybory54","c058","2014-11-15",
"1733124","k","miasto_woj154","woj46","domena_kat24","74","ipA5","ipB2696","nie","mieszkanie","wybory316","r013","2014-11-12",
"5888106","k","miasto_woj154","woj18","domena_kat3","44","ipA14","ipB1517","nie","wiezowiec","wybory258","c030","2014-11-14",
"8096759","m","miasto_woj154","woj42","domena_kat1","56","ipA19","ipB584","nie","mieszkanie","wybory161","c002","2014-11-15",
"8064115","m","miasto_woj87","woj3","domena_kat24","58","ipA10","ipB1599","nie","mieszkanie","wybory187","c003","2014-11-15",
"5251935","k","miasto_woj109","woj23","domena_kat9","73","ipA19","ipB1506","nie","wiezowiec","wybory290","c006","2014-11-14",
