id,plec,miasto_kat,wojewodztwo,domena_kat,wiek,IPA,IPB,wynik,typ_adresu,wybory,poczta,data,
"3055410","k","miasto_woj129","woj9","domena_kat9","28","ipA4","ipB279","nie","wiezowiec","wybory160","c071","2014-11-13",
"4317945",,"miasto_woj156","woj12","domena_kat19","40","ipA6","ipB1129","nie","mieszkanie","wybory409","c020","2014-11-11",
"4476785","k","miasto_woj154","woj12","domena_kat9","35","ipA20","ipB3245","nie","skrzynka","wybory416","b018","2014-11-11",
"2966071","k","miasto_woj154","woj10","domena_kat9","18","ipA1","ipB334","nie","mieszkanie","wybory252","r002","2014-11-13",
"5749601","k","miasto_woj154","woj48","domena_kat9","31","ipA4","ipB527","nie","mieszkanie","wybory285","c002","2014-11-14",
"1681050","k","miasto_woj154","woj2","domena_kat24","39","ipA24","ipB103","nie","mieszkanie","wybory294","c043","2014-11-12",
"7752196","k","miasto_woj29","woj20","domena_kat9","36","ipA10","ipB1474","nie","wiezowiec","wybory236","c054","2014-11-15",
"6253427","k","miasto_woj154","woj31","domena_kat9","37","ipA42","ipB1074","nie","mieszkanie","wybory142","r009","2014-11-14",
"4630526","m","miasto_woj51","woj14","domena_kat9","31","ipA4","ipB4","nie","mieszkanie","wybory197","c038","2014-11-11",
"1430662","k","miasto_woj154","woj10","domena_kat24","50","ipA31","ipB2258","tak","mieszkanie","wybory311","r001","2014-11-12",
"5665114","k","miasto_woj154","woj22","domena_kat24","37","ipA1","ipB440","nie","mieszkanie","wybory37","r002","2014-11-14",
"7356264","k","miasto_woj154","woj28","domena_kat24","34","ipA20","ipB860","nie",,,,"2014-11-15",
"1631649","k","miasto_woj154","woj5","domena_kat1","44","ipA9","ipB2664","nie","mieszkanie","wybory106","r002","2014-11-12",
"2903777","m","miasto_woj217","woj22","domena_kat21","76","ipA15","ipB17","nie","mieszkanie","wybory64","c037","2014-11-13",
"34204","k","miasto_woj34","woj12","domena_kat25","47","ipA5","ipB923","tak","mieszkanie","wybory318","c012","2014-11-12",
"1637870","k","miasto_woj154","woj3","domena_kat9","52","ipA4","ipB4","nie","mieszkanie","wybory403","r008","2014-11-12",
"2738826","k","miasto_woj3","woj23","domena_kat15","40","ipA23","ipB58","nie","mieszkanie","wybory259","c021","2014-11-13",
"6191586","m","miasto_woj154","woj34","domena_kat24","48","ipA7","ipB450","tak","mieszkanie","wybory253","r002","2014-11-14",
"5848489","k","miasto_woj154","woj12","domena_kat24","50","ipA15","ipB53","nie","mieszkanie","wybory283","c062","2014-11-14",
"3117414",,"miasto_woj154","woj8","domena_kat2","69","ipA3","ipB1777","nie","mieszkanie","wybory272","c043","2014-11-13",
"477083","k","miasto_woj154","woj4","domena_kat9","26","ipA15","ipB547","nie","mieszkanie","wybory61","c001","2014-11-12",
"1548331","k","miasto_woj154","woj50","domena_kat24","52","ipA12","ipB268","nie","mieszkanie","wybory308","c002","2014-11-12",
"3086359","m","miasto_woj154","woj42","domena_kat9","37","ipA35","ipB146","nie","mieszkanie","wybory161","r002","2014-11-13",
"3019494","k","miasto_woj154","woj38","domena_kat9","18","ipA22","ipB2083","nie","mieszkanie","wybory116","c020","2014-11-13",
"4430050","k","miasto_woj154","woj10","domena_kat9","36","ipA12","ipB275","nie","mieszkanie","wybory252","r004","2014-11-11",
"1470109","k","miasto_woj154","woj7","domena_kat9","20","ipA17","ipB2805","nie","mieszkanie","wybory7","r010","2014-11-12",
"4706310","k","miasto_woj154","woj22","domena_kat9","29","ipA1","ipB4905","nie","skrzynka","wybory37","b002","2014-11-11",
"33388","k","miasto_woj44","woj3","domena_kat9","21","ipA6","ipB6","nie","mieszkanie","wybory278","c022","2014-11-12",
"197982","k","miasto_woj154","woj3","domena_kat9","22","ipA53","ipB3265","tak","wiezowiec","wybory166","c016","2014-11-12",
"6527753","k","miasto_woj130","woj39","domena_kat5","58","ipA22","ipB2121","tak","mieszkanie","wybory338","c021","2014-11-14",
"6509165","k","miasto_woj154","woj3","domena_kat24","66","ipA12","ipB2814","nie","mieszkanie","wybory403","c015","2014-11-14",
"6572315","k","miasto_woj154","woj28","domena_kat1","47","ipA22","ipB553","nie","mieszkanie","wybory84","c062","2014-11-14",
"8124944","k","miasto_woj154","woj31","domena_kat9","35","ipA15","ipB17","tak","wiezowiec","wybory76","c003","2014-11-15",
"2628840","k","miasto_woj154","woj41","domena_kat9","45","ipA7","ipB167","tak","mieszkanie","wybory112","r005","2014-11-13",
"4632895","k","miasto_woj154","woj28","domena_kat24","28","ipA4","ipB4","nie","wiezowiec","wybory66","c025","2014-11-11",
"6327865","k","miasto_woj28","woj11","domena_kat24","24","ipA6","ipB6","nie","mieszkanie","wybory12","c045","2014-11-14",
"2969135","k","miasto_woj154","woj14","domena_kat1","47","ipA47","ipB3089","nie","wiezowiec","wybory109","r004","2014-11-13",
"2640361","k","miasto_woj89","woj5","domena_kat9","25","ipA35","ipB146","nie","mieszkanie","wybory205","c015","2014-11-13",
