id,plec,miasto_kat,wojewodztwo,domena_kat,wiek,IPA,IPB,wynik,typ_adresu,wybory,poczta,data,
"5435248","m","miasto_woj154","woj14","domena_kat24","80","ipA3","ipB242","nie","mieszkanie","wybory118","c040","2014-11-14",
"6882856","k","miasto_woj154","woj8","domena_kat17","65","ipA5","ipB384","nie","mieszkanie","wybory68","r076","2014-11-15",
"4437029","m","miasto_woj77","woj38","domena_kat9","88","ipA13","ipB215","nie","wiezowiec","wybory335","c005","2014-11-11",
"6361953","k","miasto_woj180","woj5","domena_kat17","18","ipA6","ipB1389","nie","mieszkanie","wybory200","c037","2014-11-14",
"4212901","m","miasto_woj154","woj9","domena_kat17","72","ipA11","ipB3766","nie","mieszkanie","wybory39","r017","2014-11-11",
"3738888","m","miasto_woj154","woj15","domena_kat9","70","ipA3","ipB4699","nie","skrzynka","wybory18","b001","2014-11-11",
"7806459","m","miasto_woj110","woj29","domena_kat9","78","ipA17","ipB1195","nie","mieszkanie","wybory119","c048","2014-11-15",
"4166500","k","miasto_woj154","woj3","domena_kat21","78","ipA12","ipB2379","nie","skrzynka","wybory384","b002","2014-11-11",
"2814341","m","miasto_woj154","woj28","domena_kat10","70","ipA11","ipB1407","nie","mieszkanie","wybory82","c016","2014-11-13",
"4247650","k","miasto_woj154","woj12","domena_kat9","72","ipA5","ipB2069","nie","mieszkanie","wybory337","r007","2014-11-11",
"32558","m","miasto_woj22","woj43","domena_kat9","78","ipA11","ipB2242","nie",,,,"2014-11-12",
"141775","k","miasto_woj154","woj18","domena_kat9",,"ipA20","ipB419","nie",,,,"2014-11-12",
"6080919","m","miasto_woj154","woj15","domena_kat9","65","ipA26","ipB316","nie","mieszkanie","wybory257","r005","2014-11-14",
"4229220","k","miasto_woj154","woj12","domena_kat17","81","ipA37","ipB3111","nie","mieszkanie","wybory430","c017","2014-11-11",
"3708517","k","miasto_woj154","woj4","domena_kat10","66","ipA69","ipB7663","nie","mieszkanie","wybory29","c001","2014-11-11",
"5606061",,"miasto_woj28","woj11","domena_kat24",,"ipA42","ipB4566","nie","mieszkanie","wybory12","c021","2014-11-14",
"3810996","k","miasto_woj154","woj2","domena_kat1","67","ipA17","ipB84","nie","mieszkanie","wybory294","r008","2014-11-11",
"3838277","m","miasto_woj154","woj4","domena_kat24","67","ipA17","ipB2504","nie","mieszkanie","wybory224","r001","2014-11-11",
"6232900",,"miasto_woj154","woj32","domena_kat13",,"ipA17","ipB1500","nie","mieszkanie","wybory210","r003","2014-11-14",
