id,plec,miasto_kat,wojewodztwo,domena_kat,wiek,IPA,IPB,wynik,typ_adresu,wybory,poczta,data,
"478108",,"miasto_woj154","woj18","domena_kat17",,"ipA53","ipB5458","nie",,,,"2014-11-12",
"3199227","k","miasto_woj154","woj38","domena_kat13","28","ipA4","ipB33","nie","mieszkanie","wybory335","r001","2014-11-13",
"145102","k","miasto_woj212","woj8","domena_kat24","28","ipA17","ipB1213","nie","wiezowiec","wybory57","c013","2014-11-12",
"841171","k","miasto_woj154","woj40","domena_kat9","20","ipA47","ipB4712","nie","mieszkanie","wybory110","r201","2014-11-12",
"3814184",,"miasto_woj154","woj17","domena_kat17",,"ipA2","ipB3318","nie",,,,"2014-11-11",
"3131972","k","miasto_woj154","woj14","domena_kat24","46","ipA4","ipB2451","nie","mieszkanie","wybory170","r777","2014-11-13",
"287662","k","miasto_woj154","woj4","domena_kat9","19","ipA19","ipB1795","nie","mieszkanie","wybory31","c031","2014-11-12",
"4741680","k","miasto_woj9","woj10","domena_kat10","51","ipA26","ipB932","tak","wiezowiec","wybory265","c002","2014-11-11",
"4550085","k","miasto_woj154","woj47","domena_kat9","42","ipA31","ipB1737","nie","mieszkanie","wybory221","h036","2014-11-11",
"4848276","m","miasto_woj154","woj47","domena_kat17","42","ipA14","ipB3082","nie","mieszkanie","wybory349","h078","2014-11-11",
"2640868","k","miasto_woj154","woj15","domena_kat9","39","ipA2","ipB2058","tak",,,,"2014-11-13",
"3671122","k","miasto_woj154","woj17","domena_kat9","43","ipA4","ipB4848","nie",,,,"2014-11-11",
"732609",,"miasto_woj154","woj17","domena_kat1",,"ipA36","ipB4092","nie",,,,"2014-11-12",
"2637502","k","miasto_woj154","woj20","domena_kat9","21","ipA28","ipB973","nie","mieszkanie","wybory169","r001","2014-11-13",
"4416384","m","miasto_woj154","woj12","domena_kat14","39","ipA3","ipB505","nie","wiezowiec","wybory402","r012","2014-11-11",
"4364364","k","miasto_woj154","woj1","domena_kat9","55","ipA17","ipB912","nie","wiezowiec","wybory390","c028","2014-11-11",
"4819149","k","miasto_woj154","woj44","domena_kat9","63","ipA44","ipB224","nie",,,,"2014-11-11",
"4596409","k","miasto_woj154","woj18","domena_kat14","55","ipA24","ipB418","nie","mieszkanie","wybory258","c006","2014-11-11",
"4355757",,"miasto_woj154","woj17","domena_kat17",,"ipA43","ipB6686","nie",,,,"2014-11-11",
"3847206",,"miasto_woj154","woj17","domena_kat21",,"ipA24","ipB2490","nie",,,,"2014-11-11",
"4048358",,"miasto_woj154","woj17","domena_kat21",,"ipA17","ipB1510","nie",,,,"2014-11-11",
"2401009",,"miasto_woj154","woj17","domena_kat9",,"ipA13","ipB1280","nie",,,,"2014-11-13",
"4427822",,"miasto_woj154","woj5","domena_kat24",,"ipA24","ipB1537","nie",,,,"2014-11-11",
"1627141","k","miasto_woj154","woj10","domena_kat9","34","ipA24","ipB1462","nie","mieszkanie","wybory238","r071","2014-11-12",
"4186551",,"miasto_woj154","woj17","domena_kat17",,"ipA13","ipB646","nie",,,,"2014-11-11",
"4330700",,"miasto_woj154","woj17","domena_kat10",,"ipA29","ipB248","nie",,,,"2014-11-11",
"560459",,"miasto_woj154","woj17","domena_kat17",,"ipA22","ipB3125","nie",,,,"2014-11-12",
"4404287","m","miasto_woj154","woj9","domena_kat24","21","ipA49","ipB4382","tak","mieszkanie","wybory9","r002","2014-11-11",
"397463",,"miasto_woj154","woj17","domena_kat24",,"ipA26","ipB1862","nie",,,,"2014-11-12",
"2422305",,"miasto_woj154","woj17","domena_kat24",,"ipA43","ipB4889","nie",,,,"2014-11-13",
"1397592",,"miasto_woj154","woj17","domena_kat9",,"ipA17","ipB1417","nie",,,,"2014-11-12",
"3407441",,"miasto_woj154","woj17","domena_kat5",,"ipA20","ipB2127","nie",,,,"2014-11-11",
"2942764","k","miasto_woj38","woj1","domena_kat24","43","ipA31","ipB1313","nie","mieszkanie","wybory14","c054","2014-11-13",
"2195186","k","miasto_woj153","woj8","domena_kat2","43","ipA18","ipB3654","nie","mieszkanie","wybory168","r010","2014-11-13",
"2633209",,"miasto_woj154","woj17","domena_kat9",,"ipA3","ipB854","nie",,,,"2014-11-13",
"1714813","m","miasto_woj154","woj48","domena_kat24","20","ipA15","ipB17","nie","mieszkanie","wybory401","r010","2014-11-12",
"1691620","k","miasto_woj118","woj32","domena_kat9","65","ipA8","ipB1827","nie","mieszkanie","wybory85","c069","2014-11-12",
"4142104","k","miasto_woj154","woj19","domena_kat3","64","ipA10","ipB757","tak",,,,"2014-11-11",
"4413440",,"miasto_woj102","woj19","domena_kat9",,"ipA26","ipB344","nie",,,,"2014-11-11",
"1500228","k","miasto_woj154","woj47","domena_kat24","18","ipA14","ipB2153","nie","mieszkanie","wybory349","h075","2014-11-12",
"2413278","k","miasto_woj154","woj10","domena_kat9","34","ipA25","ipB1894","nie","mieszkanie","wybory211","r033","2014-11-13",
"2766689","m","miasto_woj154","woj1","domena_kat24","22","ipA14","ipB192","nie","mieszkanie","wybory1","c002","2014-11-13",
"2591204","k","miasto_woj95","woj28","domena_kat10","29","ipA3","ipB707","nie","mieszkanie","wybory155","c028","2014-11-13",
"4023916","k","miasto_woj154","woj10","domena_kat24",,"ipA29","ipB219","nie","mieszkanie","wybory311","r004","2014-11-11",
"4720545","k","miasto_woj154","woj20","domena_kat24",,"ipA2","ipB1788","nie","mieszkanie","wybory111","r013","2014-11-11",
"1395142",,"miasto_woj154","woj17","domena_kat10",,"ipA4","ipB2244","nie",,,,"2014-11-12",
"4067151",,"miasto_woj154","woj17","domena_kat9",,"ipA44","ipB4439","nie",,,,"2014-11-11",
"3276593","k","miasto_woj154","woj18","domena_kat24","39","ipA14","ipB2369","nie","wiezowiec","wybory258","c005","2014-11-13",
