id,plec,miasto_kat,wojewodztwo,domena_kat,wiek,IPA,IPB,wynik,typ_adresu,wybory,poczta,data,
"1767779",,"miasto_woj154","woj8","domena_kat5","69","ipA25","ipB875","nie","mieszkanie","wybory72","r019","2014-11-12",
"7789088","k","miasto_woj154","woj10","domena_kat9","44","ipA6","ipB6","tak","mieszkanie","wybory211","r013","2014-11-15",
"8152645",,"miasto_woj154","woj17","domena_kat9",,"ipA11","ipB2435","tak",,,,"2014-11-15",
"4774901","k","miasto_woj154","woj21","domena_kat1","22","ipA70","ipB3782","nie","mieszkanie","wybory36","c078","2014-11-11",
"5934639",,"miasto_woj154","woj4","domena_kat24","59","ipA3","ipB2338","nie","mieszkanie","wybory61","r002","2014-11-14",
"4671789",,"miasto_woj11","woj6","domena_kat17","63","ipA13","ipB607","nie","mieszkanie","wybory388","c062","2014-11-11",
"4767647","k","miasto_woj167","woj6","domena_kat1","61","ipA22","ipB2669","nie","mieszkanie","wybory75","c024","2014-11-11",
"2971462","k","miasto_woj154","woj34","domena_kat9","58","ipA4","ipB182","nie","mieszkanie","wybory98","c021","2014-11-13",
"4474636",,"miasto_woj154","woj35","domena_kat6","67","ipA25","ipB2576","nie","mieszkanie","wybory363","c048","2014-11-11",
"8088841","k","miasto_woj108","woj14","domena_kat2","42","ipA19","ipB1727","nie","mieszkanie","wybory326","c071","2014-11-15",
"4915649",,"miasto_woj154","woj5","domena_kat24","41","ipA25","ipB297","nie","mieszkanie","wybory244","r001","2014-11-14",
"8067173","k","miasto_woj109","woj23","domena_kat9","73","ipA19","ipB1506","nie","wiezowiec","wybory290","c006","2014-11-15",
"5757224","k","miasto_woj181","woj39","domena_kat13","19","ipA76","ipB2209","nie","mieszkanie","wybory227","c004","2014-11-14",
"3228087","k","miasto_woj136","woj38","domena_kat1","45","ipA44","ipB709","nie","mieszkanie","wybory374","c002","2014-11-13",
"1469275","k","miasto_woj154","woj37","domena_kat15","19","ipA11","ipB989","tak","mieszkanie","wybory400","r014","2014-11-12",
"7457694",,"miasto_woj154","woj32","domena_kat24","51","ipA18","ipB2812","nie",,,,"2014-11-15",
"3296334","k","miasto_woj154","woj5","domena_kat9","63","ipA1","ipB2362","nie","wiezowiec","wybory205","c002","2014-11-13",
"7984289","k","miasto_woj207","woj12","domena_kat9","49","ipA13","ipB2100","tak","mieszkanie","wybory234","c031","2014-11-15",
"1915598",,"miasto_woj154","woj36","domena_kat10","38","ipA5","ipB101","nie","mieszkanie","wybory201","c017","2014-11-13",
"719674",,"miasto_woj154","woj17","domena_kat9",,"ipA13","ipB2711","nie",,,,"2014-11-12",
"7265104",,"miasto_woj154","woj10","domena_kat9","19","ipA1","ipB2749","nie","mieszkanie","wybory211","r026","2014-11-15",
"3437362",,"miasto_woj154","woj13","domena_kat24","31","ipA17","ipB1711","nie","wiezowiec","wybory193","c003","2014-11-11",
"7470222","k","miasto_woj154","woj30","domena_kat24","53","ipA26","ipB2921","tak","mieszkanie","wybory174","r001","2014-11-15",
"7910236","k","miasto_woj45","woj1","domena_kat9","22","ipA44","ipB1203","nie","mieszkanie","wybory90","c025","2014-11-15",
"8095800","k","miasto_woj154","woj3","domena_kat24","35","ipA10","ipB2793","nie","mieszkanie","wybory45","r006","2014-11-15",
"5538818","m","miasto_woj154","woj10","domena_kat9","19","ipA90","ipB3858","tak",,,,"2014-11-14",
"4756582","k","miasto_woj154","woj46","domena_kat10","25","ipA22","ipB1099","nie","mieszkanie","wybory208","c006","2014-11-11",
"6617397",,"miasto_woj154","woj8","domena_kat10","46","ipA2","ipB1021","nie","mieszkanie","wybory27","c060","2014-11-14",
"4695470",,"miasto_woj154","woj20","domena_kat10","38","ipA21","ipB4588","nie","mieszkanie","wybory236","c014","2014-11-11",
"3372571","k","miasto_woj154","woj8","domena_kat9","56","ipA24","ipB788","nie","mieszkanie","wybory72","c004","2014-11-13",
"3951930",,"miasto_woj175","woj18","domena_kat9","29","ipA42","ipB3695","nie","mieszkanie","wybory83","c004","2014-11-11",
"8082364","k","miasto_woj157","woj8","domena_kat24","46","ipA4","ipB4","nie",,,,"2014-11-15",
"859660",,"miasto_woj154","woj32","domena_kat13",,"ipA7","ipB1110","nie","mieszkanie","wybory210","r003","2014-11-12",
"1478900","k","miasto_woj38","woj1","domena_kat9","49","ipA10","ipB266","nie","mieszkanie","wybory22","c008","2014-11-12",
"1723621","k","miasto_woj136","woj38","domena_kat1","45","ipA44","ipB709","nie","mieszkanie","wybory374","c002","2014-11-12",
"4793952",,"miasto_woj154","woj12","domena_kat24","81","ipA19","ipB2117","nie","mieszkanie","wybory49","c007","2014-11-11",
