id,plec,miasto_kat,wojewodztwo,domena_kat,wiek,IPA,IPB,wynik,typ_adresu,wybory,poczta,data,
"4500133","k","miasto_woj154","woj34","domena_kat1","54","ipA15","ipB3065","nie","mieszkanie","wybory295","c051","2014-11-11",
"28080","k","miasto_woj154","woj43","domena_kat9","21","ipA20","ipB2118","nie","mieszkanie","wybory310","r003","2014-11-12",
"4733020","k","miasto_woj213","woj8","domena_kat18","55","ipA16","ipB1443","tak",,,,"2014-11-11",
"4632077","m","miasto_woj163","woj4","domena_kat9","55","ipA20","ipB483","nie","mieszkanie","wybory31","c019","2014-11-11",
"3337763","m","miasto_woj154","woj15","domena_kat1","74","ipA13","ipB4099","nie","wiezowiec","wybory69","c013","2014-11-13",
"3132618",,"miasto_woj154","woj17","domena_kat22",,"ipA19","ipB2949","nie",,,,"2014-11-13",
"2592506","m","miasto_woj154","woj12","domena_kat9","29","ipA6","ipB906","nie","mieszkanie","wybory49","c011","2014-11-13",
"4028177",,"miasto_woj27","woj8","domena_kat9",,"ipA9","ipB3395","nie",,,,"2014-11-11",
"3475320","k","miasto_woj154","woj12","domena_kat9","59","ipA6","ipB6","tak","mieszkanie","wybory60","c026","2014-11-11",
"3330144","k","miasto_woj154","woj41","domena_kat10","64","ipA6","ipB250","nie",,,,"2014-11-13",
"1720268",,"miasto_woj154","woj17","domena_kat24",,"ipA20","ipB2722","nie",,,,"2014-11-12",
"3183922","k","miasto_woj100","woj3","domena_kat9","23","ipA61","ipB858","nie","mieszkanie","wybory319","c010","2014-11-13",
"3130395","k","miasto_woj111","woj10","domena_kat24",,"ipA3","ipB3","nie","mieszkanie","wybory10","c006","2014-11-13",
"93624",,"miasto_woj154","woj17","domena_kat9",,"ipA44","ipB1203","nie",,,,"2014-11-12",
"2676397","m","miasto_woj154","woj12","domena_kat9","36","ipA27","ipB1949","nie","mieszkanie","wybory312","c008","2014-11-13",
"1002923","k","miasto_woj154","woj12","domena_kat9","55","ipA4","ipB4","nie","mieszkanie","wybory274","c005","2014-11-12",
"2699957",,"miasto_woj154","woj3","domena_kat24","38","ipA14","ipB4280","nie","mieszkanie","wybory277","c073","2014-11-13",
"4764372","m","miasto_woj154","woj28","domena_kat9","85","ipA11","ipB3415","nie","mieszkanie","wybory307","r009","2014-11-11",
"3478617","m","miasto_woj154","woj12","domena_kat9","43","ipA19","ipB1069","nie","mieszkanie","wybory73","c012","2014-11-11",
"4474054",,"miasto_woj154","woj9","domena_kat15",,"ipA13","ipB490","nie","mieszkanie","wybory39","c018","2014-11-11",
"4676485","k","miasto_woj33","woj15","domena_kat9","28","ipA20","ipB2862","nie","wiezowiec","wybory355","c066","2014-11-11",
"1713385",,"miasto_woj112","woj8","domena_kat17","64","ipA2","ipB43","nie","mieszkanie","wybory41","c058","2014-11-12",
"4038281","k","miasto_woj154","woj16","domena_kat24","20","ipA4","ipB4","nie","skrzynka","wybory264","b002","2014-11-11",
"1013659","k","miasto_woj154","woj37","domena_kat9","29","ipA6","ipB6","nie","mieszkanie","wybory101","h002","2014-11-12",
"1469970","k","miasto_woj69","woj3","domena_kat24","41","ipA7","ipB1528","nie",,,,"2014-11-12",
"1642792","k","miasto_woj154","woj2","domena_kat17","29","ipA47","ipB6457","nie","mieszkanie","wybory325","h064","2014-11-12",
"3473853","m","miasto_woj154","woj40","domena_kat9","62","ipA15","ipB216","nie","mieszkanie","wybory392","r001","2014-11-11",
"2691032","m","miasto_woj154","woj28","domena_kat9","41","ipA5","ipB3206","nie","mieszkanie","wybory153","c007","2014-11-13",
"3134549","k","miasto_woj226","woj27","domena_kat17","27","ipA25","ipB82","nie","mieszkanie","wybory81","c003","2014-11-13",
